CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance
11010;22;AW00011010;NULL;Jacquelyn;C;Suarez;0;06-02-1964;S;NULL;F;jacquelyn20@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;7800 Corrinne Court;NULL;1 (11) 500 555-0169;17-07-2005;5-10 Miles
11011;22;AW00011011;NULL;Curtis;NULL;Lu;0;04-11-1963;M;NULL;M;curtis9@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;1224 Shoenic;NULL;1 (11) 500 555-0117;02-07-2005;10+ Miles
11012;611;AW00011012;NULL;Lauren;M;Walker;0;18-01-1968;M;NULL;F;lauren41@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;2;4785 Scott Street;NULL;717-555-0164;17-09-2007;1-2 Miles
11013;543;AW00011013;NULL;Ian;M;Jenkins;0;06-08-1968;M;NULL;M;ian47@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;3;7902 Hudson Ave.;NULL;817-555-0185;15-10-2007;0-1 Miles
11014;634;AW00011014;NULL;Sydney;NULL;Bennett;0;09-05-1968;S;NULL;F;sydney23@adventure-works.com;100000;3;0;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;0;3;9011 Tank Drive;NULL;431-555-0156;24-09-2007;1-2 Miles
11015;301;AW00011015;NULL;Chloe;NULL;Young;0;27-02-1979;S;NULL;F;chloe23@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;1;244 Willow Pass Road;NULL;208-555-0142;22-07-2007;5-10 Miles
11016;329;AW00011016;NULL;Wyatt;L;Hill;0;28-04-1979;M;NULL;M;wyatt32@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;1;9666 Northridge Ct.;NULL;135-555-0171;13-08-2007;5-10 Miles
11017;39;AW00011017;NULL;Shannon;NULL;Wang;0;26-06-1944;S;NULL;F;shannon1@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;7330 Saddlehill Lane;NULL;1 (11) 500 555-0195;15-07-2005;5-10 Miles
11018;32;AW00011018;NULL;Clarence;D;Rai;0;09-10-1944;S;NULL;M;clarence32@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;244 Rivewview;NULL;1 (11) 500 555-0137;20-07-2005;5-10 Miles
11019;52;AW00011019;NULL;Luke;L;Lal;0;07-03-1978;S;NULL;M;luke18@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7832 Landing Dr;NULL;262-555-0112;16-08-2007;5-10 Miles
11020;53;AW00011020;NULL;Jordan;C;King;0;20-09-1978;S;NULL;M;jordan73@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7156 Rose Dr.;NULL;550-555-0163;02-07-2007;1-2 Miles
11021;536;AW00011021;NULL;Destiny;NULL;Wilson;0;03-09-1978;S;NULL;F;destiny7@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;1;8148 W. Lake Dr.;NULL;622-555-0158;27-07-2007;1-2 Miles
11022;609;AW00011022;NULL;Ethan;G;Zhang;0;12-10-1978;M;NULL;M;ethan20@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;1;1769 Nicholas Drive;NULL;589-555-0185;24-07-2007;5-10 Miles
11023;298;AW00011023;NULL;Seth;M;Edwards;0;11-10-1978;M;NULL;M;seth46@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;1;4499 Valley Crest;NULL;452-555-0188;21-08-2007;1-2 Miles
11024;311;AW00011024;NULL;Russell;NULL;Xie;0;17-09-1978;M;NULL;M;russell7@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8734 Oxford Place;NULL;746-555-0186;29-12-2007;5-10 Miles
11025;24;AW00011025;NULL;Alejandro;NULL;Beck;0;23-12-1945;M;NULL;M;alejandro45@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;2596 Franklin Canyon Road;NULL;1 (11) 500 555-0178;09-07-2005;1-2 Miles
11026;4;AW00011026;NULL;Harold;NULL;Sai;0;03-04-1946;S;NULL;M;harold3@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;0;2;8211 Leeds Ct.;NULL;1 (11) 500 555-0131;26-07-2005;1-2 Miles
11027;40;AW00011027;NULL;Jessie;R;Zhao;0;07-12-1946;M;NULL;M;jessie16@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;213 Valencia Place;NULL;1 (11) 500 555-0184;19-07-2005;5-10 Miles
11028;17;AW00011028;NULL;Jill;NULL;Jimenez;0;11-04-1946;M;NULL;F;jill13@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;9111 Rose Ann Ave;NULL;1 (11) 500 555-0116;29-07-2005;1-2 Miles
11029;32;AW00011029;NULL;Jimmy;L;Moreno;0;21-12-1946;M;NULL;M;jimmy9@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;6385 Mark Twain;NULL;1 (11) 500 555-0146;22-07-2005;1-2 Miles
11030;28;AW00011030;NULL;Bethany;G;Yuan;0;22-02-1947;M;NULL;F;bethany10@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;636 Vine Hill Way;NULL;1 (11) 500 555-0182;08-08-2005;1-2 Miles
11031;8;AW00011031;NULL;Theresa;G;Ramos;0;22-08-1947;M;NULL;F;theresa13@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;6465 Detroit Ave.;NULL;1 (11) 500 555-0195;04-08-2005;1-2 Miles
11032;35;AW00011032;NULL;Denise;NULL;Stone;0;11-06-1947;M;NULL;F;denise10@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;626 Bentley Street;NULL;1 (11) 500 555-0169;21-08-2005;1-2 Miles
11033;9;AW00011033;NULL;Jaime;NULL;Nath;0;23-09-1947;M;NULL;M;jaime41@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;5927 Rainbow Dr;NULL;1 (11) 500 555-0137;18-08-2005;5-10 Miles
11034;12;AW00011034;NULL;Ebony;NULL;Gonzalez;0;19-06-1947;M;NULL;F;ebony19@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;5167 Condor Place;NULL;1 (11) 500 555-0136;04-08-2005;5-10 Miles
11035;33;AW00011035;NULL;Wendy;NULL;Dominguez;0;24-02-1948;M;NULL;F;wendy12@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;1873 Mt. Whitney Dr;NULL;1 (11) 500 555-0177;09-08-2005;1-2 Miles
11036;343;AW00011036;NULL;Jennifer;C;Russell;0;18-12-1978;M;NULL;F;jennifer93@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;3981 Augustine Drive;NULL;115-555-0183;26-07-2007;1-2 Miles
11037;49;AW00011037;NULL;Chloe;M;Garcia;0;27-11-1977;S;NULL;F;chloe27@adventure-works.com;40000;0;0;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;0;2;8915 Woodside Way;NULL;229-555-0112;24-07-2007;5-10 Miles
11038;6;AW00011038;NULL;Diana;F;Hernandez;0;23-03-1948;M;NULL;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;8357 Sandy Cove Lane;NULL;1 (11) 500 555-0114;10-08-2005;5-10 Miles
11039;19;AW00011039;NULL;Marc;J;Martin;0;17-12-1948;M;NULL;M;marc3@adventure-works.com;30000;3;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;9353 Creekside Dr.;NULL;1 (11) 500 555-0183;10-08-2005;5-10 Miles
11040;642;AW00011040;NULL;Jesse;NULL;Murphy;0;01-08-1977;M;NULL;M;jesse15@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;3350 Kingswood Circle;NULL;961-555-0176;05-10-2007;1-2 Miles
11041;325;AW00011041;NULL;Amanda;M;Carter;0;16-10-1977;M;NULL;F;amanda53@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;5826 Escobar;NULL;295-555-0145;18-07-2007;1-2 Miles
11042;338;AW00011042;NULL;Megan;J;Sanchez;0;13-06-1977;M;NULL;F;megan28@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;1397 Paraiso Ct.;NULL;404-555-0199;25-07-2007;0-1 Miles
11043;325;AW00011043;NULL;Nathan;M;Simmons;0;24-02-1976;M;NULL;M;nathan11@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;1170 Shaw Rd;NULL;296-555-0181;09-11-2007;5-10 Miles
11044;25;AW00011044;NULL;Adam;L;Flores;0;24-05-1949;M;NULL;M;adam10@adventure-works.com;20000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;6935 Candle Dr;NULL;1 (11) 500 555-0163;31-08-2005;1-2 Miles
11045;8;AW00011045;NULL;Leonard;G;Nara;0;19-05-1950;S;NULL;M;leonard18@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7466 La Vista Ave.;NULL;1 (11) 500 555-0151;12-10-2007;1-2 Miles
11046;6;AW00011046;NULL;Christine;NULL;Yuan;0;22-03-1950;M;NULL;F;christine4@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;NULL;1 (11) 500 555-0113;09-08-2005;5-10 Miles
11047;34;AW00011047;NULL;Jaclyn;D;Lu;0;27-02-1950;M;NULL;F;jaclyn12@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;2812 Mazatlan;NULL;1 (11) 500 555-0137;06-08-2005;1-2 Miles
11048;39;AW00011048;NULL;Jeremy;NULL;Powell;0;22-11-1950;M;NULL;M;jeremy26@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;1803 Potomac Dr.;NULL;1 (11) 500 555-0183;13-08-2005;5-10 Miles
11049;307;AW00011049;NULL;Carol;C;Rai;0;18-07-1980;S;NULL;F;carol8@adventure-works.com;40000;0;0;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;6064 Madrid;NULL;654-555-0180;10-09-2007;5-10 Miles
11050;31;AW00011050;NULL;Alan;NULL;Zheng;0;07-09-1951;M;NULL;M;alan23@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2741 Gainborough Dr.;NULL;1 (11) 500 555-0135;23-08-2005;5-10 Miles
11051;21;AW00011051;NULL;Daniel;NULL;Johnson;0;04-08-1951;S;NULL;M;daniel18@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;8085 Sunnyvale Avenue;NULL;1 (11) 500 555-0155;01-07-2008;1-2 Miles
11052;8;AW00011052;NULL;Heidi;NULL;Lopez;0;07-08-1951;S;NULL;F;heidi19@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;0;2;2514 Via Cordona;NULL;1 (11) 500 555-0168;20-08-2005;5-10 Miles
11053;359;AW00011053;NULL;Ana;E;Price;0;20-08-1980;M;NULL;F;ana0@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;2;1660 Stonyhill Circle;NULL;859-555-0113;21-07-2007;1-2 Miles
11054;34;AW00011054;NULL;Deanna;NULL;Munoz;0;10-03-1952;M;NULL;F;deanna33@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;5825 B Way;NULL;1 (11) 500 555-0192;06-08-2005;5-10 Miles
11055;22;AW00011055;NULL;Gilbert;NULL;Raje;0;05-03-1952;M;NULL;M;gilbert35@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8811 The Trees Dr.;NULL;1 (11) 500 555-0129;03-08-2005;5-10 Miles
11056;10;AW00011056;NULL;Michele;L;Nath;0;03-04-1953;M;NULL;F;michele19@adventure-works.com;40000;3;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;5464 Janin Pl.;NULL;1 (11) 500 555-0178;29-08-2005;5-10 Miles
11057;5;AW00011057;NULL;Carl;J;Andersen;0;12-10-1953;M;NULL;M;carl12@adventure-works.com;70000;2;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;2;6930 Lake Nadine Place;NULL;1 (11) 500 555-0181;25-08-2005;1-2 Miles
11058;29;AW00011058;NULL;Marc;NULL;Diaz;0;27-04-1954;M;NULL;M;marc6@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;6645 Sinaloa;NULL;1 (11) 500 555-0149;09-09-2005;1-2 Miles
11059;27;AW00011059;NULL;Ashlee;J;Andersen;0;01-04-1954;S;NULL;F;ashlee19@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8255 Highland Road;NULL;1 (11) 500 555-0112;22-08-2007;5-10 Miles
11060;40;AW00011060;NULL;Jon;L;Zhou;0;17-03-1954;M;NULL;M;jon28@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;6574 Hemlock Ave.;NULL;1 (11) 500 555-0174;19-09-2005;5-10 Miles
11061;23;AW00011061;NULL;Todd;M;Gao;0;27-02-1954;M;NULL;M;todd14@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8808 Geneva Ave;NULL;1 (11) 500 555-0191;13-09-2005;5-10 Miles
11062;547;AW00011062;NULL;Noah;D;Powell;0;02-09-1975;M;NULL;M;noah5@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9794 Marion Ct;NULL;767-555-0113;11-07-2007;5-10 Miles
11063;634;AW00011063;NULL;Angela;NULL;Murphy;0;07-04-1975;S;NULL;F;angela41@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4927 Virgil Street;# 21;451-555-0162;16-07-2007;5-10 Miles
11064;315;AW00011064;NULL;Chase;NULL;Reed;0;07-12-1975;M;NULL;M;chase21@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2721 Alexander Pl.;NULL;892-555-0184;29-07-2007;5-10 Miles
11065;331;AW00011065;NULL;Jessica;NULL;Henderson;0;09-10-1973;M;NULL;F;jessica29@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;2;9343 Ironwood Way;NULL;278-555-0186;14-08-2007;1-2 Miles
11066;543;AW00011066;NULL;Grace;T;Butler;0;27-11-1973;M;NULL;F;grace62@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;2;4739 Garden Ave.;NULL;712-555-0141;02-12-2007;5-10 Miles
11067;632;AW00011067;NULL;Caleb;F;Carter;0;25-09-1976;S;NULL;M;caleb40@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;2;9563 Pennsylvania Blvd.;NULL;944-555-0167;19-02-2008;5-10 Miles
11068;40;AW00011068;NULL;Tiffany;NULL;Liang;0;23-09-1955;S;NULL;F;tiffany17@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;3608 Sinclair Avenue;# 701;1 (11) 500 555-0177;01-11-2007;5-10 Miles
11069;23;AW00011069;NULL;Carolyn;NULL;Navarro;0;21-09-1955;S;NULL;F;carolyn30@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;4606 Springwood Court;NULL;1 (11) 500 555-0145;18-10-2005;1-2 Miles
11070;39;AW00011070;NULL;Willie;T;Raji;0;05-04-1955;M;NULL;M;willie40@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;6260 Vernal Drive;NULL;1 (11) 500 555-0151;29-10-2005;5-10 Miles
11071;24;AW00011071;NULL;Linda;NULL;Serrano;0;26-06-1955;S;NULL;F;linda31@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9808 Shaw Rd.;NULL;1 (11) 500 555-0130;02-09-2007;5-10 Miles
11072;17;AW00011072;NULL;Casey;NULL;Luo;0;06-02-1955;S;NULL;F;casey6@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;9513 Roslyn Drive;NULL;1 (11) 500 555-0125;01-10-2005;1-2 Miles
11073;16;AW00011073;NULL;Amy;NULL;Ye;0;14-08-1956;S;NULL;F;amy16@adventure-works.com;70000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2262 Kirkwood Ct.;NULL;1 (11) 500 555-0185;24-09-2007;5-10 Miles
11074;28;AW00011074;NULL;Levi;A;Arun;0;28-08-1956;S;NULL;M;levi6@adventure-works.com;70000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4661 Bluetail;NULL;1 (11) 500 555-0127;24-09-2007;5-10 Miles
11075;32;AW00011075;NULL;Felicia;L;Jimenez;0;16-11-1957;S;NULL;F;felicia4@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;1;2;786 Eastgate Ave;NULL;1 (11) 500 555-0165;29-10-2005;5-10 Miles
11076;19;AW00011076;NULL;Blake;NULL;Anderson;0;13-07-1957;S;NULL;M;blake9@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;1;2;5436 Clear;# 101;1 (11) 500 555-0113;22-10-2005;5-10 Miles
11077;36;AW00011077;NULL;Leah;NULL;Ye;0;19-09-1957;S;NULL;F;leah7@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1291 Arguello Blvd.;NULL;1 (11) 500 555-0154;16-10-2005;1-2 Miles
11078;49;AW00011078;NULL;Gina;E;Martin;0;10-01-1974;S;NULL;F;gina1@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1349 Sol St.;NULL;196-555-0114;19-08-2007;1-2 Miles
11079;34;AW00011079;NULL;Donald;NULL;Gonzalez;0;11-03-1959;S;NULL;M;donald20@adventure-works.com;160000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;2;4236 Malibu Place;NULL;1 (11) 500 555-0137;16-09-2007;0-1 Miles
11080;30;AW00011080;NULL;Damien;NULL;Chander;0;17-07-1959;M;NULL;M;damien32@adventure-works.com;170000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;2;9941 Stonehedge Dr.;NULL;1 (11) 500 555-0111;11-10-2005;0-1 Miles
11081;311;AW00011081;NULL;Savannah;C;Baker;0;24-07-1966;M;NULL;F;savannah39@adventure-works.com;120000;2;2;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;3;1210 Trafalgar Circle;NULL;478-555-0117;16-08-2007;2-5 Miles
11082;322;AW00011082;NULL;Angela;L;Butler;0;04-08-1966;S;NULL;F;angela17@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;0;3;6040 Listing Ct;NULL;579-555-0195;26-07-2007;1-2 Miles
11083;336;AW00011083;NULL;Alyssa;F;Cox;0;15-03-1966;M;NULL;F;alyssa37@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;3;867 La Orinda Place;NULL;561-555-0140;10-07-2007;1-2 Miles
11084;543;AW00011084;NULL;Lucas;NULL;Phillips;0;12-09-1957;S;NULL;M;lucas7@adventure-works.com;80000;2;0;Partial High School;Educación secundaria (en curso);Niveau bac;Skilled Manual;Obrero especializado;Technicien;0;2;8668 St. Celestine Court;NULL;863-555-0172;08-07-2007;1-2 Miles
11085;345;AW00011085;NULL;Emily;NULL;Johnson;0;19-07-1957;S;NULL;F;emily1@adventure-works.com;60000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;7926 Stephanie Way;NULL;850-555-0184;08-06-2008;5-10 Miles
11086;369;AW00011086;NULL;Ryan;NULL;Brown;0;23-12-1957;M;NULL;M;ryan43@adventure-works.com;70000;2;1;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;0;2939 Wesley Ct.;NULL;539-555-0198;03-01-2008;0-1 Miles
11087;307;AW00011087;NULL;Tamara;L;Liang;0;03-10-1957;M;NULL;F;tamara6@adventure-works.com;70000;3;2;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;0;0;3791 Rossmor Parkway;NULL;178-555-0152;29-08-2007;0-1 Miles
11088;359;AW00011088;NULL;Hunter;NULL;Davis;0;25-11-1957;M;NULL;M;hunter64@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;0;4308 Sand Pointe Lane;NULL;612-555-0141;17-07-2007;2-5 Miles
11089;337;AW00011089;NULL;Abigail;M;Price;0;05-02-1957;S;NULL;F;abigail25@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;1;2685 Blackburn Ct;NULL;532-555-0117;02-07-2007;2-5 Miles
11090;338;AW00011090;NULL;Trevor;NULL;Bryant;0;17-12-1957;S;NULL;M;trevor18@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;1;5781 Sharon Dr.;NULL;853-555-0174;07-02-2006;2-5 Miles
